Product Name,Display Name,Stockcode,Barcode,Medium Image File,Cup Measure,Price,Cup Price,Cup String,Has Cup Price,Package Size,Sap Department Name,Sap Category Name,Sap Sub Category Name,Sap Segment Name,Department,Aisle,Description,Vegetarian,Wool Dietary Claim,Allergen Contains,Allergy Statement,Ingredients
Mountain Bread Rye Wraps,Mountain Bread Rye Wraps 200g,16436,789673000042,https://cdn0.woolworths.media/content/wowproductimages/medium/016436.jpg,100G,4.5,2.25,$2.25 / 100G,TRUE,200G,PROPRIETARY BAKERY,PROPRIETARY BAKERY,RESALE INTERNATIONAL BREAD,WRAPS,bakery,"rolls, wraps & flatbreads",<p>71 Calories & 13.6g of Cab per wrap.</p><p>Based on Australian Serving Size</p>,False,"Free from yeast, No Added Dairy, Egg free","Gluten, Wheat",Fish Free,"Rye Wholemeal Flour (70%), Wheat Flour (Flour, Folate, Thiamin), Filtered Water, Iodised Sea Salt"
Woolworths White Soft Toast Bread,Woolworths White Soft Toast Bread 650g,581174,9300633636852,https://cdn0.woolworths.media/content/wowproductimages/medium/581174.jpg,100G,2.7,0.42,$0.42 / 100G,TRUE,650G,PROPRIETARY BAKERY,PROPRIETARY BAKERY,RESALE BREAD,WHITE LOAF,bakery,white & wholemeal bread,"White toast sliced bread  A source of fibre that'll keep your kids digestive systems happy (1), these slices are the perfect tummy filler. (1) As part of a healthy balanced diet.",False,"No Added Sugars, Free From Artificial Colour, Free From Artificial Flavour, Free From Artificial Preservatives","Soy, Gluten",No Artificial Preservatives,"Wheat Flour, Water, Baker's Yeast, Wheat Fibre, Vinegar, Wheat Gluten, Iodised Salt, Canola Oil, Soy Flour, Emulsifiers (481, 472e), Vitamins (Thiamin, Folate)"
Woolworths Bread Rolls Soft Wholemeal Lunch,Woolworths Bread Rolls Soft Wholemeal Lunch 6 Pack,27806,0281460000001,https://cdn0.woolworths.media/content/wowproductimages/medium/027806.jpg,1EA,2.5,0.42,$0.42 / 1EA,TRUE,6 Pack,BAKEHOUSE,INSTORE BAKERY,ISB BREAD ROLL,WHOLEMEAL/GRAINS/SEEDED ROLL,bakery,in-store bakery,This product contains 46g Whole Grains per serve. One 70g serve (1 roll) of Woolworths Wholemeal Lunch Roll contributes 96% of the 48g Whole Grain Daily Target Intake.,False,,"Gluten, Sesame, Soy",Fish Free,"<p>Whole meal Wheat Flour (66%), Water, Wheat Gluten, Yeast, Vegetable Oils (Palm, Canola), Iodised Salt, Malted Barley Flour, Soy Flour, Vitamins (Thiamin, Folate). Topping Options: Plain or Sesame Seeds or Poppy Seeds  This product contains 46g Whole Grains per serve. One 70g serve (1 roll) of Woolworths Wholemeal Lunch Roll contributes 96% of the 48g Whole Grain Daily Target Intake.</p>"
Woolworths Wholemeal Sandwich Hi-fibre Bread,Woolworths Wholemeal Sandwich Hi-fibre Bread 700g,581281,9300633636920,https://cdn0.woolworths.media/content/wowproductimages/medium/581281.jpg,100G,3.5,0.5,$0.50 / 100G,TRUE,700G,PROPRIETARY BAKERY,PROPRIETARY BAKERY,RESALE BREAD,MULTIGRAIN/WHOLEMEAL LOAF,bakery,white & wholemeal bread,"Wholemeal sandwich sliced bread  Perfect for breakfast, lunch or an afternoon snack, these slices will have you looking forward to creating your next meal.",False,"No Added Sugars, Free From Artificial Colour, Free From Artificial Flavour, Free From Artificial Preservatives","Gluten, Soy",No Artificial Colours or Flavours,"Wholemeal Wheat Flour (46%), Water, Wheat Flour, Bakers Yeast, Wheat Gluten, Vinegar, Canola Oil, Iodised Salt, Soya Flour, Emulsifiers (481, 472e), Barley Malt Flour, Vitamins (Thiamin, Folate)"
Woolworths Creamy Vanilla Slice,Woolworths Creamy Vanilla Slice 2 Pack,706501,9339687060610,https://cdn0.woolworths.media/content/wowproductimages/medium/706501.jpg,100G,5.5,2.04,$2.04 / 100G,TRUE,2 Pack,BAKEHOUSE,INSTORE BAKERY,RESALE CAKE INSTORE,DESSERTS,bakery,baked snacks & sweets,,False,"Free From Artificial ColourFree From Artificial Flavour","Soy, Milk, Gluten",No Artificial Colours or Flavours,"Custard Filling (Thickened Cream (Cream, Beef Gelatine), Water, Custard Mix (Sugar, Thickeners (1422, 1442, 401, 415, 410, 407), Non Fat Milk Solids, Glucose Syrup, Canola Oil, Glucose Syrup Solids, Vegetable Oil, Sodium Caseinate, Stabiliser (340), Emulsifier (471), Anticaking Agent (551), Tapioca Starch, Mineral Salt (170), Sodium Caseinate, Beef Gelatine, Stabilisers (339ii, 450iii, 516), Vegetable Gum (401), Sucrose, Natural Flavouring, Natural Colour (164)), Glucose Syrup, Natural Vanilla Flavour (Humectant (1520))), Fondant Icing (Icing (Sugar, Water, Glucose (contains Preservative (220)), Vegetable Fats and Oils (Emulsifiers (322 Soy, 492)), Maize Starch, Vegetable Gums (406, 464), Salt, Preservative (202), Emulsifier (481), Natural Flavour, Antioxidant (307b)), Sugar, Canola Oil, Glucose Syrup, Water), Puff Pastry (Wheat Flour, Margarine (Vegetable Oil, Water, Salt, Emulsifiers (471, 472c), Antioxidant (304), Natural Flavouring), Water, Butter, Dried Whole Milk, Dextrose, Salt, Emulsifier (466)), Belgian Dark Chocolate (Cocoa Mass, Sugar, Cocoa Butter, Emulsifier (322 from Soy), Natural Flavouring, Canola Oil), Chocolate contains Minimum 55% Cocoa Solids"
Golden Crumpets Round,Golden Crumpets Round 6 Pack,49622,9310043003014,https://cdn0.woolworths.media/content/wowproductimages/medium/049622.jpg,1EA,4.4,0.73,$0.73 / 1EA,TRUE,6 Pack,PROPRIETARY BAKERY,PROPRIETARY BAKERY,RESALE BAKERY SNACKS,CRUMPETS,bakery,baked snacks & sweets,"<p>Golden Crumpets 300g<br/><br/>Our iconic Golden Crumpets! Fluffy on the inside with a crunchy base, our delicious crumpets are meant to be eaten toasted. Simply pop them in the toaster or under the grill and finish with the topping of your choice such as honey, seasonal fruit, or jam for the ultimate breakfast or snacking companion - never a boring bite! <br/><br/>No artificial Flavours or Colours<br/>Low in Sugar<br/>Freezer friendly</p>",False,"Low Sugar, No Added Artificial Colour, No Added Artificial Flavour, Low Saturated Fat, Low Fat",Gluten,Fish Free,"Wheat Flour, Water, Raising Agents (450,500), Iodised Salt, Dextrose, Preservatives (282,234), Vitamins (Thiamin, Folic Acid)."
Mighty Soft Bread Rolls Hamburger Buns,Mighty Soft Bread Rolls Hamburger Buns 6 Pack,13044,9310023133533,https://cdn0.woolworths.media/content/wowproductimages/medium/013044.jpg,1EA,3.7,0.62,$0.62 / 1EA,TRUE,6 Pack,PROPRIETARY BAKERY,PROPRIETARY BAKERY,RESALE BREAD,WHITE ROLLS,bakery,"rolls, wraps & flatbreads","Make the ultimate burger with Mighty Soft Hamburger Buns. Big, soft and delicious, these buns come in a six pack perfect for sharing with family and friends.<br><br>Mighty Soft Hamburger Buns are fantastic for family meals, backyard BBQs or lunches on the go. Fill these buns with classic burger fillings such as a patty, tomato slices, lettuce, cheese and let the good times roll. Made with no artificial preservatives and sprinkled with sesame seeds on top, you can't go wrong with Mighty Soft hamburger buns.<br><br>• Burger buns<br><br>• Made with love<br><br>• Perfect for a delicious hamburger<br><br>• Sprinkled with sesame seeds<br><br>• No artificial preservatives",False,;No Added Preservatives;No Added Artificial Colour;No Added Artificial Flavour;,"<p>Gluten Containing Cereals, Soy.</p>",Fish Free,"Wheat flour, water, yeast, sesame seeds, canola oil,wheat gluten, sugar, vinegar, iodised salt, vegetable emulsifiers (481, 471, 472e), soy flour, vitamins (thiamin, folic acid)"
Crafted Range Of Sourdough White Loaf,Crafted Range Of Sourdough White Loaf Each,97077,0286265000003,https://cdn0.woolworths.media/content/wowproductimages/medium/097077.jpg,1EA,7,7,$7.00 / 1EA,TRUE,Each,BAKEHOUSE,INSTORE BAKERY,ISB SPECIALTY BREAD,CRAFTED LOAVES,bakery,in-store bakery,"A classic white vienna sourdough that won Silver at the 2021 Sydney Royal Fine Food Awards.<br/><br/> Proudly made with Australian wheat flour, this sourdough bread recipe has been crafted by an expert artisan baker. Using time honoured methods, the 40 hour recipe begins with a traditional culture, is slowly fermented and then hand shaped and rested before being fully baked on stone. <br/><br/> Finished in our in-store ovens, these loaves have an intense sourdough flavour, with a perfect crust and wonderful open texture.<div><br/><br/><a href=?https://www.woolworths.com.au/shop/discover/our-brands/woolworths-range/sourdough?icmpid=sm-vurl-sourdough""target=""_blank""><b>Click here</b><a/> to find out more<p/>",False,,,Fish Free,"Wheat Flour, Water, Sourdough Culture (Wheat Flour, Water), Wholewheat Flour, Iodised Salt, Semolina, Vitamins (Thiamin, Folic Acid)."
Helga's Bread Traditional Wholemeal,Helga's Bread Traditional Wholemeal 750g,84129,9310128002499,https://cdn0.woolworths.media/content/wowproductimages/medium/084129.jpg,100G,4.9,0.65,$0.65 / 100G,TRUE,750G,PROPRIETARY BAKERY,PROPRIETARY BAKERY,RESALE BREAD,MULTIGRAIN/WHOLEMEAL LOAF,bakery,white & wholemeal bread,"Helga's Traditional Wholemeal Sliced Bread is a great meal option for breakfast, lunch or dinner. Grab a couple of slices and make yourself a hearty sandwich or toast them and top with a yummy spread.<BR><BR>Baked fresh with no artificial colours, flavours and preservatives, Helga's Traditional Wholemeal Sliced Bread is perfect for all your sandwich needs. it's a source of whole grains, fibre and protein and with tons of ways to serve, you'll always have something new to enjoy. Create a meaty sandwich, toast and squeeze your favourite spread on top or for a filling breakfast, layer it with eggs, avocado and tomatoes.<BR><BR>• Wholemeal bread<BR><BR>• A good breakfast option<BR><BR>• Good source of fibre<BR><BR>• Source of protein<BR><BR>• No artificial colours, flavours or preservatives",False,"No Artificial Colours, No Artificial Flavours, No Preservatives, Source of Protein","Gluten Containing Cereals, Soy",Lactose Free,"Wholemeal wheat flour (60%), water, rye meal (3%), yeast, wheat bran, vinegar, wheat gluten, iodised salt, canola oil, cultured wheat flour, soy flour, vegetable emulsifiers (481, 471, 472e), vitamins (thiamin, folic acid)."
Crafted Range Of Sourdough Dark Rye Loaf,Crafted Range Of Sourdough Dark Rye Loaf Each,97078,0286270000005,https://cdn0.woolworths.media/content/wowproductimages/medium/097078.jpg,1EA,7,7,$7.00 / 1EA,TRUE,Each,BAKEHOUSE,INSTORE BAKERY,ISB SPECIALTY BREAD,CRAFTED LOAVES,bakery,in-store bakery,"<strong>Dark Rye Sourdough Loaf</strong><br><br>
A rustic rye sourdough with dark caramelized crust, boasting sensational malt flavours.
<br><br>Proudly made with Australian wheat flour, these sourdough bread recipes have been crafted by an expert artisan baker. Using time honoured methods, the 40 hour recipe loaves begin with a traditional culture, are slowly fermented then hand shaped and rested before being fully baked on stone. Finished in our in-store ovens, these loaves have an intense sourdough flavour, with a perfect crust and wonderful open texture.
<div>Find out more <a href=""https://www.woolworths.com.au/shop/discover/our-brands/woolworths-range/sourdough?icmpid=sm-vurl-sourdough"" target=""_blank"">here</a>.</div>
<br><br>- No Added Yeast
<br>- Naturally Leavened
<br>- Hand Shaped",False,,,Fish Free,"Wheat Flour, Water, Rye Flour (14%), Sourdough Culture (Wheat Flour, Water), Iodised Salt, Barley Malt Flour, Wheat Gluten, Rice Flour, Vitamins (Thiamin, Folic Acid)."
